0x00 0x0 0xcca1 => 0x0 0x5b12
0x00 0x0 0xb625 => 0x0 0x5134
0x94 0x0 0xa269 => 0x8761 0x87d4
0x1e 0x6100 0xd4ff => 0x9edb 0x9f2c
0x00 0x3600 0xd9ff => 0x3600 0x7f09
0x00 0x6c00 0xfe13 => 0x6c00 0xad2a
0x02 0x5800 0xda55 => 0x93dd 0x9494
0x00 0x6e80 0xca7f => 0x6e80 0x978d
0x00 0x3a00 0xde37 => 0x3a00 0x8368
0x00 0x3a00 0x8368 => 0x3a00 0x5ade
0x00 0x6800 0xeb7b => 0x6800 0xa2f9
0x00 0x5000 0xc5f3 => 0x5000 0x84fe
0x00 0x2000 0x89fd => 0x2000 0x4fb3
0x00 0x0 0xbecf => 0x0 0x5604
0x00 0x0 0xac09 => 0x0 0x4dae
0x00 0x0 0x9b5d => 0x0 0x4645
0x00 0x0 0x8c8b => 0x0 0x3fac
0x00 0x0 0xfeb3 => 0x0 0x7394
0x00 0x0 0xe729 => 0x0 0x6912
0x00 0x0 0xd225 => 0x0 0x5fac
0x00 0x0 0xbf59 => 0x0 0x5741
0x00 0x0 0xae83 => 0x0 0x4fb5
0x00 0x0 0x9f6b => 0x0 0x48ee
0x00 0x0 0x91dd => 0x0 0x42d5
0x00 0x0 0x85ab => 0x0 0x3d58
0x00 0x0 0xf563 => 0x0 0x70cb
0x00 0x0 0xe197 => 0x0 0x67dc
0x00 0x0 0xcfb9 => 0x0 0x5fc8
0x00 0x0 0xbf91 => 0x0 0x5878
0x00 0x0 0xb0f1 => 0x0 0x51d8
0x00 0x0 0xa3b1 => 0x0 0x4bd5
0x00 0x0 0x97ab => 0x0 0x465f
0x00 0x0 0x8cbf => 0x0 0x4167
0x00 0x0 0x82cf => 0x0 0x3ce1
0x5f(_) 0x0 0xf387 => 0xa787 0xaf49
0x5f(_) 0x7870 0xf49f => 0xcdc1 0xd1de
0x63(c) 0x3820 0xbbdf => 0x9846 0x98f8
0x73(s) 0x4600 0xf8ff => 0xcfcd 0xd0be
0x74(t) 0x6680 0xdf7f => 0xc453 0xc571
0x72(r) 0x2980 0xb8ff => 0x974d 0x97ad
0x69(i) 0x1a00 0xdbff => 0xab2e 0xab6e
0x6e(n) 0x5c00 0xddff => 0xbe5a 0xbe85
0x67(g) 0x3400 0x8bff => 0x7538 0x7572
0x00 0x7000 0xe5ff => 0x7000 0xa659
0x00 0x6000 0xccb3 => 0x6000 0x9225
0x00 0x0 0xc897 => 0x0 0x5cad
0x00 0x0 0xb95b => 0x0 0x55c5
0x00 0x0 0xab8b => 0x0 0x4f7f
0x00 0x0 0x9eff => 0x0 0x49cb
